x, y,
-12097950, 5452584,
-12097830, 5452062,
-12097848, 5451612,
-12097977, 5451215,
-12098139, 5450968,
-12098255, 5450854,
-12098552, 5450793,
-12099118, 5450806,
-12099537, 5450737,
-12099888, 5450624,
-12100082, 5450483,
-12100279, 5450219,
-12100380, 5449963,
-12100483, 5449558,
-12100490, 5449240,
-12100436, 5448869,
-12100364, 5448533,
-12100246, 5448356,
-12100091, 5448267,
-12099545, 5448159,
-12099075, 5448156,
-12098752, 5448216,
-12098383, 5448364,
-12098049, 5448548,
-12097883, 5448547,
-12097650, 5448450,
-12097324, 5448201,
-12096815, 5448004,
-12096157, 5447833,
-12095818, 5447804,
-12095120, 5447889,
-12094885, 5447862,
-12094428, 5447692,
-12094119, 5447469,
-12093984, 5447230,
-12093971, 5447053,
-12094056, 5446745,
-12094200, 5446507,
-12094342, 5446385,
-12094967, 5446026,
-12095553, 5445473,
-12095967, 5445219,
-12096825, 5444968,
-12097243, 5444952,
-12098249, 5445115,
-12098594, 5445224,
-12098809, 5445348,
-12099570, 5446049,
-12100067, 5446439,
-12100325, 5446581,
-12100584, 5446653,
-12100942, 5446620,
-12101108, 5446577,
-12101363, 5446437,
-12101577, 5446190,
-12101632, 5446049,
-12101619, 5445811,
-12101426, 5445466,
-12101138, 5445059,
-12101057, 5444784,
-12101097, 5444502,
-12101179, 5444309,
-12101365, 5444124,
-12102063, 5443615,
-12103064, 5443090,
-12103417, 5442836,
-12103657, 5442572,
-12103783, 5442378,
-12103822, 5442149,
-12103723, 5441884,
-12103536, 5441627,
-12103262, 5441432,
-12102924, 5441387,
-12102662, 5441430,
-12102242, 5441587,
-12101346, 5442024,
-12101119, 5442085,
-12100919, 5442057,
-12100782, 5441951,
-12100690, 5441783,
-12100676, 5441623,
-12100715, 5441421,
-12100877, 5441148,
-12101116, 5440938,
-12101370, 5440815,
-12101949, 5440580,
-12103381, 5440233,
-12104454, 5440026,
-12104805, 5439869,
-12105128, 5439808,
-12105683, 5439846,
-12106023, 5439820,
-12106425, 5439699,
-12106514, 5439602,
-12106519, 5439311,
-12106298, 5439054,
-12105937, 5438841,
-12105514, 5438698,
-12105231, 5438494,
-12105011, 5438219,
-12104683, 5437654,
-12104351, 5437300,
-12103861, 5437008,
-12103474, 5436820,
-12102775, 5436571,
-12102432, 5436357,
-12102202, 5436127,
-12101991, 5435835,
-12101900, 5435605,
-12101887, 5435376,
-12101970, 5435112,
-12102113, 5434946,
-12102271, 5434823,
-12102743, 5434675,
-12103118, 5434614,
-12103612, 5434661,
-12104071, 5434725,
-12104341, 5434708,
-12104664, 5434603,
-12105024, 5434376,
-12105282, 5434077,
-12105640, 5433550,
-12106791, 5431933,
-12107226, 5431396,
-12107801, 5430844,
-12108438, 5430185,
-12108703, 5429957,
-12108993, 5429773,
-12109365, 5429836,
-12110300, 5429910,
-12111293, 5430169,
-12111931, 5430418,
-12112269, 5430446,
-12112599, 5430393,
-12113018, 5430271,
-12113526, 5430035,
-12114522, 5429175,
-12114882, 5428913,
-12115459, 5428685,
-12116165, 5428457,
-12116376, 5428334,
-12116499, 5428230,
-12116589, 5428028,
-12116612, 5427719,
-12116515, 5427339,
-12116379, 5427181,
-12116225, 5427075,
-12114709, 5426480,
-12114442, 5426356,
-12114177, 5426152,
-12113702, 5425579,
-12113411, 5425348,
-12113068, 5425181,
-12112602, 5425029,
-12112196, 5424984,
-12111969, 5425027,
-12111593, 5425210,
-12111048, 5425631,
-12110733, 5425797,
-12110297, 5425919,
-12109584, 5426005,
-12108882, 5425985,
-12108330, 5425860,
-12108088, 5425779,
-12108247, 5425639,
-12108357, 5425314,
-12108455, 5424742,
-12108506, 5424310,
-12108474, 5423747,
-12108419, 5423448,
-12108285, 5423183,
-12107987, 5422883,
-12107920, 5422785,
-12107888, 5422636,
-12108169, 5422003,
-12108207, 5421844,
-12108210, 5421677,
-12108397, 5421423,
-12108589, 5421327,
-12109076, 5421223,
-12110275, 5421050,
-12111441, 5420817,
-12111869, 5420616,
-12112350, 5420345,
-12112769, 5420170,
-12113335, 5420049,
-12114515, 5419955,
-12115199, 5419967,
-12116080, 5420084,
-12117212, 5420263,
-12117911, 5420396,
-12118170, 5420423,
-12118579, 5420328,
-12119843, 5419864,
-12121091, 5419304,
-12121902, 5419008,
-12122570, 5418912,
-12122928, 5418780,
-12123361, 5418451,
-12123650, 5418287,
-12123865, 5418090,
-12124261, 5417810,
-12124514, 5417686,
-12124764, 5417451,
-12125235, 5417204,
-12125584, 5417089,
-12126008, 5416357,
-12126134, 5416106,
-12126275, 5415530,
-12126245, 5415396,
-12126172, 5414776,
-12126163, 5414505,
-12126181, 5414235,
-12126170, 5413877,
-12126901, 5413118,
-12128107, 5411759,
-12128781, 5411199,
-12129599, 5410864,
-12131310, 5410363,
-12132167, 5410142,
-12132347, 5410113,
-12132728, 5409986,
-12132994, 5409919,
-12133768, 5409573,
-12134586, 5408916,
-12135004, 5408607,
-12135675, 5408175,
-12136065, 5408062,
-12136622, 5407807,
-12136884, 5407631,
-12137365, 5407245,
-12137805, 5406683,
-12137949, 5406322,
-12137996, 5406077,
-12137950, 5405654,
-12137850, 5405365,
-12137583, 5404732,
-12137057, 5403993,
-12136675, 5403572,
-12136410, 5403343,
-12136025, 5403071,
-12135745, 5402780,
-12135475, 5402288,
-12135426, 5402086,
-12135482, 5401841,
-12135597, 5401638,
-12135920, 5401392,
-12136425, 5401138,
-12137206, 5400884,
-12137449, 5400787,
-12137625, 5400560,
-12137732, 5400323,
-12137753, 5400059,
-12137712, 5399875,
-12137576, 5399690,
-12137397, 5399541,
-12136857, 5399320,
-12136514, 5399145,
-12136126, 5398877,
-12136765, 5398661,
-12137142, 5398554,
-12137803, 5398074,
-12139278, 5397815,
-12144140, 5397759,
-12144291, 5397237,
-12144241, 5396075,
-12144441, 5395101,
-12145091, 5393342,
-12147039, 5394075,
-12147592, 5394848,
-12148334, 5395732,
-12149794, 5397367,
-12151554, 5398738,
-12153935, 5399354,
-12156774, 5399238,
-12160320, 5398577,
-12164189, 5397425,
-12167753, 5394922,
-12168520, 5392647,
-12168806, 5392782,
-12169577, 5393333,
-12169954, 5393691,
-12170176, 5393945,
-12170738, 5394847,
-12171672, 5396688,
-12172045, 5397547,
-12172375, 5398407,
-12172569, 5398986,
-12172883, 5399599,
-12173290, 5400590,
-12173477, 5400958,
-12173870, 5401511,
-12174230, 5401896,
-12174917, 5402430,
-12175416, 5402752,
-12176095, 5403251,
-12176887, 5403750,
-12177430, 5403940,
-12178439, 5404428,
-12178637, 5404507,
-12178755, 5404533,
-12179432, 5404866,
-12179757, 5404958,
-12180774, 5405375,
-12181469, 5405773,
-12181906, 5405968,
-12182302, 5406055,
-12182556, 5406149,
-12183492, 5406318,
-12183742, 5406304,
